seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
2321,,Young Lady in Cauchoise Dress（Gilbert Stuart Newton，1829-01-01）,,,object,19世纪英美人物与风俗画,4,5.5,4.5,6,6,6,0,6,5.5,5,5.650,5.490,C,C,,Core 5.490 < 5.5,medium,服饰题材提供了可观的社会史和视觉信息，然而作品及艺术家均未达到MFA美国艺术收藏中最核心的代表性层级。,组内第2：女性服饰与风俗题材提供了人物肖像之外的社会生活视角，但在纽顿作品组内仍属次核心代表。,
2322,,Denman Waldo Ross（Giovanni Battista Troccoli，1934-01-01）,,,object,20世纪前期美国肖像画,2,4.5,5.5,5,4.5,6,0,4.5,7,4.5,5.250,5.125,C,C,,Core 5.125 < 5.5,medium,画家本身较为边缘，但题名人物Denman Waldo Ross与美国艺术收藏和博物馆史存在潜在关联，使作品的馆史叙事价值高于其一般艺术史地位。,组内相对更具代表性：1934年肖像以Denman Waldo Ross为题，较另一件同艺术家的女性肖像更有明确人物与馆史关联，因此D居首。,
2323,,Mrs. Edwin Champney (Lady with a Tray)（Giovanni Battista Troccoli，1922-01-01，油彩）,,,object,20世纪前期美国肖像画,2,4,3.5,5,4.5,4.5,0,4,3.5,3.5,3.750,4.150,C,C,,Core 4.150 < 5.5,medium,这是一件艺术家和题材均不具广泛知名度的肖像画，主要价值在于补充20世纪前期人物绘画面貌，难以成为MFA参观重点。,组内相对次位：虽为同时期美国肖像且有明确题名和媒材，但与2322同属Giovanni Battista Troccoli肖像作品，独特性及叙事补位价值较低。,
2324,,Untitled (James Baldwin)（格倫·利貢，1990-01-01，油彩）,,,object,美国当代文本与观念绘画,1,8,7,6.5,7.5,8,0,8,9,7.5,8.200,7.470,C,A,变,Core 7.470 落在 7.2–8.49,high,格伦·利贡是美国当代艺术的重要艺术家，以文字、黑人身份与文学文化记忆展开创作，此作指向詹姆斯·鲍德温，具有较强的历史文化解释力和公众吸引力。,组内唯一的美国当代文本与观念绘画，格伦·利贡以文字、身份与黑人文化记忆结合的代表性补足了MFA当代美国艺术叙事，因此D取高分。,
2325,,Another Birthday（Grace Hartigan，1971-01-01，油彩）,,,object,美国抽象表现主义绘画,8,8,6.5,7,6.5,7,0,8.0,5.5,6.5,6.950,6.995,C,B,变,Core 6.995 落在 5.5–7.19,high,格蕾丝·哈蒂根是美国抽象表现主义及战后绘画的重要人物，作品具有明确的美国艺术史位置和视觉活力，但单件作品在MFA庞大的美国艺术收藏中并非不可替代。,组内为重要女性抽象表现主义艺术家的有代表性作品，但相较波洛克、克兰和米切尔的核心样本，独特补位性居中。,
2326,,A Yellowstone Geyser（Grafton Tyler Brown，油彩）,,,object,19世纪美国西部风景画,1,7,6,7,7,7.5,0,7.5,8.5,6.5,7.600,6.885,B,B,,Core 6.885 落在 5.5–7.19,medium,格拉夫顿·泰勒·布朗的黄石景观兼具美国西部视觉史、非裔美国艺术家历史和自然文化叙事价值，题材也容易为普通游客理解，但艺术家并非该领域的全球顶点。,组内唯一对象，作为19世纪美国西部风景画代表兼具黄石地貌题材与Grafton Tyler Brown的少见艺术史位置，因此D偏高；但在MFA美国艺术整体叙事中仍属补充性板块。,
2327,,Aureole（Q18686472，1983-01-01，油彩）,,,object,1980年代当代油画（艺术家未解析）,1,4.5,3.5,5.5,5,4,0,5.5,7,3.5,5.550,4.505,C,C,,Core 4.505 < 5.5,low,目前仅有标题、年代、媒材及未解析的艺术家编号，无法确认其艺术史地位或在MFA同类中的排名，故按一般1980年代当代油画谨慎估计。,组内唯一的1980年代当代油画，因本组无同类对象而具较高区分度，但在MFA整体收藏叙事中仍属非核心的常规当代作品。,
2328,,Peggy Seated (Imaginary Pregnancy)（Gregory Gillespie）,,,object,美国当代具象绘画,9,7,5.5,6.5,6,7,0,7.5,7.5,6.5,7.300,6.430,C,B,变,Core 6.430 落在 5.5–7.19,medium,格雷戈里·吉莱斯皮是具有辨识度的美国当代具象画家，作品标题涉及身体与身份叙事，具一定教育和观赏价值，但尚不足以代表MFA当代艺术身份。,组内前列，Gregory Gillespie的具象人物绘画风格鲜明且心理表现独特，能补充美国当代具象传统的重要一环。,
2329,,Woman in a Fur Hat（Gretchen Woodman Rogers，1915-01-01，油彩）,,,object,美国20世纪现代主义油画,8,5.0,3.5,5.5,5.5,4.5,0,5.0,3.2,4.5,4.360,4.636,C,C,,Core 4.636 < 5.5,low,Gretchen Woodman Rogers属于美国区域性现代主义艺术家，作品具一定观赏与女性艺术史线索，但远非MFA美国艺术的核心名作，且未提供图像与具体题材信息。,组内后段：Rogers的女性艺术家视角具有补充意义，但相较Woodruff、Hofmann等代表性艺术家，本件在同类中较不突出。,
2330,,Still Life（Gretchen Woodman Rogers，1923-01-01，油彩）,,,object,美国20世纪现代主义油画,8,4.5,3.0,5.5,5.0,4.0,0,4.5,2.2,4.0,3.710,4.196,C,C,,Core 4.196 < 5.5,low,该艺术家及作品在美国艺术史中的地位较为有限，静物题材本身可供形式分析，但在MFA庞大的现代绘画收藏中可替代性较高。,组内代表性最低：仍可补充Rogers及美国现代绘画的面向，但与组内其他作品相比品质典范性和独特叙事贡献都较弱。,
2331,,Untitled（Guillermo Kuitca，1998-01-01，油彩）,,,object,拉丁美洲当代油画,1,7.0,4.5,6.5,6.5,6.0,0,7.5,8.5,3.5,7.000,6.075,C,B,变,Core 6.075 落在 5.5–7.19,medium,Kuitca是国际上有明确影响力的阿根廷当代艺术家，其绘画常以剧场、建筑和空间心理为线索，但单件无题作品并非MFA身份性藏品。,组内唯一的拉丁美洲当代油画，因无同类重复而具较高独特性；但该板块并非MFA最核心的馆藏叙事，路线补位价值有限。,
2332,,The Old Trouper（Guy Pène du Bois，1942-01-01，油彩）,,,object,美国20世纪现代主义油画,8,6.5,4.5,6.0,5.8,5.8,0,6.5,5.8,5.8,6.150,5.680,C,B,变,Core 5.680 落在 5.5–7.19,medium,Guy Pène du Bois是有学术地位的美国现代主义画家，作品可说明两次世界大战时期的美国城市与人物绘画，但在MFA同类藏品中仍属非核心作品。,组内中上位置：Pène du Bois提供美国现代都市与人物绘画的一环，风格辨识度尚可，但整体代表性和MFA叙事补位弱于Woodruff、Hofmann。,
2333,,Silver Dew（György Kepes，1962-01-01，油彩）,,,object,美国20世纪现代主义油画,8,6.5,4.5,6.5,6.0,6.5,0,6.5,5.0,5.5,5.850,5.860,C,B,变,Core 5.860 落在 5.5–7.19,medium,Kepes在现代视觉艺术、设计与跨学科实验史上具有重要地位，抽象作品有较强形式教育价值，但其在MFA并不构成日本、埃及或美国大师板块的身份支柱。,组内中游：Kepes可代表战后科学感知与抽象实验，但同组另有一件Kepes作品，且两件在艺术家与叙事功能上重复。,
2334,,Tender Vigil（György Kepes，1969-01-01）,,,object,美国20世纪现代主义油画,8,6.5,4.5,6.5,6.0,6.5,0,6.5,4.2,5.5,5.610,5.836,C,B,变,Core 5.836 落在 5.5–7.19,medium,Kepes的晚期抽象实践能够联系现代主义、视觉科学与实验艺术史，具有稳定的教育价值，但缺乏作品层面的代表性信息，馆藏不可替代性有限。,组内中下位置：虽同样体现Kepes的抽象实验方向，但与组内另一件Kepes重复度较高，单件的独特补位有限。,
2335,,Portrait of Mary Elizabeth Jennings（H. Williams）,,,object,美国肖像油画,15,3.5,2.5,4.5,4.5,3.5,0,3.5,1.5,3,2.800,3.480,B,C,变,Core 3.480 < 5.5,low,目前仅知作者为H. Williams及作品为肖像画，缺少年代、人物身份、艺术史地位和图像信息，无法证明其超出一般馆藏肖像的价值。,为组内品质与辨识度较低的普通肖像，艺术家信息和艺术史地位均弱于其他对象。,
2336,,Big Wind in Georgia（Hale Woodruff，1934-01-01）,,,object,美国20世纪现代主义油画,8,7.5,5.5,6.0,6.0,7.5,0,7.8,7.8,8.0,7.840,6.584,B,B,,Core 6.584 落在 5.5–7.19,medium,Hale Woodruff是美国非裔现代主义的重要艺术家，作品可连接非裔美国人艺术、种族经验与跨大西洋现代主义，但MFA中单件作品的身份性仍低于其美国艺术旗舰名作。,组内排名前列：Woodruff的重要作品，以美国现代主义与非裔美国艺术史价值显著高于一般画家个案，但与同组另一件Woodruff作品存在一定重复。,
2337,,Ashanti Image（Hale Woodruff，1946-01-01）,,,object,美国20世纪现代主义油画,8,7.5,5.5,6.2,6.2,7.5,0,7.8,8.5,8.5,8.150,6.675,B,B,,Core 6.675 落在 5.5–7.19,medium,Woodruff的重要性使该作具有较强的非裔美国人艺术史与非洲文化意象教育价值，但仅凭题名无法确认其视觉冲击和具体代表性。,组内代表性最高之一：Hale Woodruff兼具美国现代主义与非裔美国艺术、非洲文化关联，较其他对象提供更不可替代的叙事环节。,
2338,,"Ischl, Austria（Hamilton H. Wild，1874-01-01）",,,object,19世纪欧美风俗人物与风景油画,2,4.5,3.0,5.5,5.0,4.5,0,4.0,6.0,3.0,4.400,4.340,C,C,,Core 4.340 < 5.5,low,Hamilton H. Wild及其奥地利风景作品目前缺少可核实的艺术史背景，按19世纪一般风景绘画处理，在MFA百科全书式收藏中可替代性较高。,组内相较之下，Ischl风景题材比另一件常规的意大利农民肖像更具地域与景观辨识度，因此代表性居首。,
2339,,Italian Peasant Boy（Hamilton H. Wild，1866-01-01，油彩）,,,object,19世纪欧美风俗人物与风景油画,2,4.5,3.0,5.0,5.0,4.5,0,3.5,3.5,2.5,3.300,4.155,B,C,变,Core 4.155 < 5.5,low,该作属于19世纪人物题材油画，但作者与作品的历史影响、人物身份及图像表现均不明，暂不足以视为MFA的重点藏品。,组内属较常见的19世纪意大利风俗人物画，与另一件同作者作品存在明显题材重复，代表性居次。,
2340,,Green Bottle（汉斯·霍夫曼，1921-01-01，油彩）,,,object,美国20世纪现代主义油画,8,7.5,5.5,6.5,6.0,7.0,0,8.0,7.0,7.5,7.600,6.560,B,B,,Core 6.560 落在 5.5–7.19,medium,Hans Hofmann是美国抽象表现主义与现代艺术教学史上的关键人物，早期静物可说明其现代主义转型，但单件《Green Bottle》并非MFA最具身份标志性的作品。,组内品质与现代主义史地位较高，作为Hofmann作品具有较强典范性，但在本组中仍属于抽象绘画的单一艺术家代表，叙事补位不及Woodruff。,
2341,,Untitled（汉斯·霍夫曼，1944-01-01）,,,object,美国战后抽象绘画,57,8,6,7,6.5,7,0,8,6.8,7.5,7.540,6.929,B,B,,Core 6.929 落在 5.5–7.19,medium,汉斯·霍夫曼是美国战后抽象绘画的重要先驱，但这件1944年无题作品缺少尺寸、媒材与展览史信息，在MFA中更像重要板块内的代表而非全馆标志性单件。,霍夫曼是抽象表现主义与教学传统的关键人物，本作在其组内系列中居中上位置。,
2342,,Embrace（汉斯·霍夫曼，1947-01-01）,,,object,美国战后抽象绘画,57,8,6,7,7,7,0,8,6.5,7.5,7.450,6.995,B,B,,Core 6.995 落在 5.5–7.19,medium,《Embrace》出自霍夫曼成熟的战后抽象时期，艺术史位置较强且抽象构成通常具有现场吸引力，但作品本身并无已知的MFA不可替代地位。,霍夫曼的代表性明确，但与本组更成熟的《Composition No. IV》相比独特性略低。,
2343,,Composition No. IV（汉斯·霍夫曼，1953-01-01，油彩）,,,object,美国战后抽象绘画,57,8,6.5,7.5,7,7.5,0,8.5,8.5,8,8.400,7.365,B,A,变,Core 7.365 落在 7.2–8.49,medium,1953年的《Composition No. IV》属于霍夫曼成熟期抽象绘画，能解释美国战后抽象艺术的发展，但仅凭编目资料不能确认其是否为艺术家最具代表性的名作。,《Composition No. IV》是本组霍夫曼作品中最具典范性的构成，位列全组前列。,
2344,,Integration（汉斯·霍夫曼，1944-01-01）,,,object,美国战后抽象绘画,57,8,6,7,6.5,7,0,8,5.8,7,7.140,6.889,B,B,,Core 6.889 落在 5.5–7.19,medium,《Integration》体现霍夫曼关于色彩、空间和抽象构成的核心实践，历史价值较强，但在MFA的美国艺术收藏中仍属于重要系列中的一件而非身份核心孤品。,虽能补充霍夫曼的抽象表现主义脉络，但作为同组配对作品其独特性明显低于《Composition No. IV》。,
2345,,Two Sailors（Harold Crowell，1982-01-01）,,,object,美国20世纪绘画,10,4.5,3.5,5,5,4,0,4.5,3.5,3.5,4.000,4.275,B,C,变,Core 4.275 < 5.5,low,除艺术家、年份和题名外缺少题材、尺寸及艺术史资料，现有信息不足以支持其在美国绘画史或MFA馆藏中的高位判断。,组内中下：Crowell的具象题材可作为美国当代绘画的普通补充，但缺乏足以区别于组内其他非核心作品的代表性。,
2346,,Trucker Sadness（Harold Feist，1980-01-01）,,,object,美国20世纪绘画,10,4,3.5,4.5,4.5,4,0,4.5,3,3,3.750,4.000,C,C,,Core 4.000 < 5.5,low,《Trucker Sadness》的题名提示可能具有社会或职业题材，但艺术家与作品的公认地位、视觉特征和叙事背景均无法从现有资料确认。,组内偏后：Feist的卡车题材具有一定美国生活图景价值，但艺术家地位和非重复性均不足以支撑较高类别代表性。,
2347,,Beach Scene with a Newspaper（Harold Sterner，1941-01-01）,,,object,美国20世纪绘画,10,5,4,5.5,5.5,5,0,5.5,5.5,4.5,5.300,4.930,C,C,,Core 4.930 < 5.5,low,1941年的海滩场景与报纸题材具有一定美国日常生活史和时代感，但艺术家并非广为公认的一流代表，难以成为MFA美国艺术的核心看点。,组内中上：1941年的海滩题材具有美国现代生活绘画的代表性，但作者地位与馆藏叙事作用仍不及前两件。,
2348,,Archaic（Harold Wacker，1950-01-01）,,,object,美国20世纪绘画,10,4.5,3.5,5,4.5,4.5,0,5,4.5,4,4.650,4.340,C,C,,Core 4.340 < 5.5,low,《Archaic》可能涉及现代主义抽象语汇，但仅有题名、艺术家和年份，无法确认其艺术史重要性或现场视觉强度。,组内中位：作品可能体现战后现代主义的抽象倾向，但作者与作品的典范性有限，和同类抽象绘画存在较多重复。,
2349,,"Wilderness-Marcy, Dvorak New World Symphony, Largo（Harold F. Weston，1922-01-01，油彩）",,,object,美国20世纪绘画,10,5.5,4,6,5.5,5.5,0,6.5,7,6,6.550,5.305,C,C,,Core 5.305 < 5.5,medium,这件1922年景观画把马西山荒野与德沃夏克《新世界交响曲》联系起来，具有一定美国现代景观与音乐联想的教育价值，但艺术家在全国艺术史中的地位有限。,组内第二梯队：Weston的现代主义风景画较具历史辨识度，能补充美国现代绘画的风景传统，明显高于多数不知名作者作品。,
2350,,Frevo da Casa Verde（Heitor dos Prazeres，1958-01-01，油彩）,,,object,巴西现代主义绘画,3,7.5,5.5,7.5,7.5,8,0,7.5,5.8,6.8,6.850,7.010,B,B,,Core 7.010 落在 5.5–7.19,medium,海托尔·多斯·普拉泽斯是重要的巴西黑人艺术家、桑巴文化参与者与自学艺术家，《Frevo da Casa Verde》能具体呈现巴西城市民俗和黑人文化，但并非MFA最具身份性的单件藏品。,组内居中，作为海托尔·多斯·普拉泽斯民俗场景绘画的代表作具有较好品质，但与同组另一件桑巴题材作品存在明显重复。,
2351,,Roda de Samba (Samba Circle)（Heitor dos Prazeres，1957-01-01）,,,object,巴西现代主义绘画,3,7.5,5.5,7,8,8,0,7.3,4.2,6.2,6.150,6.940,B,B,,Core 6.940 落在 5.5–7.19,medium,《Roda de Samba》以桑巴舞圈为主题，兼具鲜明的社会文化叙事和普通游客易于理解的节奏感，在巴西现代主义板块中具有较高吸引力。,组内相对靠后，虽能呈现普拉泽斯的桑巴文化主题，但与同组另一件同作者民俗场景画高度近似，非重复性最低。,
2352,,Dawn After the Storm（海伦·佛兰肯瑟勒，1957-01-01）,,,object,美国战后抽象绘画,57,8,6.5,7.5,7,7.5,0,8.5,8,8,8.250,7.350,C,A,变,Core 7.350 落在 7.2–8.49,medium,海伦·佛兰肯瑟勒是美国战后抽象绘画的重要人物，《Dawn After the Storm》具有较强的色彩与空间表现潜力，并能说明抽象表现主义之后的绘画转向，但不是MFA身份最不可替代的单件。,佛兰肯瑟勒是色域绘画关键人物，《Dawn After the Storm》在本组中属于高代表性的早期典范。,
2353,,Ocean Desert（海伦·佛兰肯瑟勒）,,,object,美国战后抽象绘画,57,8,5.5,7.5,7.5,7,0,8,5.8,7,7.140,6.989,C,B,变,Core 6.989 落在 5.5–7.19,medium,佛兰肯瑟勒是战后美国抽象绘画的重要艺术家，此作具有色域绘画的视觉吸引力和现代艺术叙事价值，但在MFA同类中未必属于最具馆身份代表性的镇馆作。,《Ocean Desert》能体现佛兰肯瑟勒的色域语言，但在其三件作品中重复性较高。,
2354,,Floe IV（海伦·佛兰肯瑟勒，1965-01-01）,,,object,美国战后抽象绘画,57,8.5,6,8,7.5,7.5,0,8.5,8.2,8.2,8.350,7.485,C,A,变,Core 7.485 落在 7.2–8.49,medium,1965年的《Floe IV》处于佛兰肯瑟勒成熟的战后抽象实践阶段，兼具较高艺术史地位、强烈色彩空间效果和解释美国抽象艺术的价值，但MFA的核心身份仍不主要建立在单件佛兰肯瑟勒作品上。,《Floe IV》是本组佛兰肯瑟勒作品中最成熟、最具独立辨识度的一件，位列全组前列。,
2355,,Haystacks（Helen M. Knowlton，1875-01-01）,,,object,美国风景油画（十九世纪至二十世纪初）,3,5,3.5,5.5,5,5,0,4.5,2.8,3.5,3.790,4.579,C,C,,Core 4.579 < 5.5,medium,Helen M. Knowlton的《Haystacks》属于十九世纪美国风景画中的常规性作品，题材易于理解且可能具有宜人的现场观感，但艺术家和作品的全国性影响有限。,组内品质与代表性居末，题材属于十九世纪美国风景画的常见类型，在MFA美国艺术叙事中补位有限。,
2356,,Evening Sounds（Helen Torr，1927-01-01）,,,object,美国现代主义绘画,44,6.5,4.5,6.5,6,6.5,0,6.5,4,5.5,5.550,5.830,C,B,变,Core 5.830 落在 5.5–7.19,medium,Helen Torr是美国现代主义语境中具有辨识度但并非最核心地位的艺术家，此作可说明1920年代美国现代绘画的探索，视觉和教育价值高于其在MFA中的不可替代性。,托尔补充了女性抽象艺术史，但相较本组核心名家作品，其品质与不可重复性较有限。,
2357,,"On the Open Sea-- The Transatlantic Steamship ""Péreire""（Henry Bacon，1877-01-01，油彩）",,,object,美国十九世纪叙事与风俗油画,3,4.5,3,5.5,5.5,5.5,0,4.5,4,4.5,4.350,4.560,C,C,,Core 4.560 < 5.5,medium,作品以跨大西洋蒸汽船为主题，具有工业交通和海事社会史的叙事趣味，但Henry Bacon及此类海景在美国十九世纪绘画中均不属最重要的代表。,组内居中：跨大西洋蒸汽船题材具有一定工业与交通史叙事补位性，但画家地位和作品典范性明显不及因曼作品。,
2358,,Dog in Mourning（Henry Bacon，1870-01-01，油彩）,,,object,美国十九世纪叙事与风俗油画,3,4,2.5,5,5.5,4.5,0,3.5,2,3,2.950,3.970,C,C,,Core 3.970 < 5.5,medium,《Dog in Mourning》主要是易于亲近的动物哀悼场景，普通游客或会觉得生动，但其艺术史地位、馆藏不可替代性和时代解释力都较有限。,组内最低：宠物哀悼题材虽具19世纪风俗趣味，但在美国叙事绘画中较为常见，与组内其他作品相比重复性最高、补位价值有限。,
2359,,On the Ammonoosuc River（Henry Cheever Pratt，1866-01-01，油彩）,,,object,美国风景油画（十九世纪至二十世纪初）,3,5.5,3.5,6,5.5,5.5,0,5.2,3.8,4.0,4.540,4.979,C,C,,Core 4.979 < 5.5,medium,Henry Cheever Pratt的阿莫诺苏克河风景体现了十九世纪美国地方景观绘画和新英格兰地域意识，景色可能具有较好观赏性，但艺术家在MFA同类中并非首要代表。,组内居中，早期河流风景与较明确的十九世纪语境提供一定代表性，但仍有较多同类作品可替代。,
2360,,The Reverend John Atwood and His Family（Henry F. Darby，1845-01-01，油彩）,,,object,美国十九世纪人物与历史题材油画,3,5,3.5,5.5,5.5,6,0,4.5,4.5,4.5,4.500,4.875,C,C,,Core 4.875 < 5.5,medium,这幅家庭群像可提供十九世纪美国宗教、家庭结构和肖像委托文化的社会史信息，但Henry F. Darby及作品本身的艺术史影响和视觉冲击力有限。,组内居中：十九世纪美国家庭肖像具有一般代表性，但艺术家与题材均较常规，补位价值有限。,
2361,,John Gore (copy after John Trumbull)（Henry Greenough，油彩）,,,object,美国十九世纪人物与历史题材油画,3,4,2.5,4.5,4.5,5.5,0,3.5,2.5,3.5,3.200,3.920,B,C,变,Core 3.920 < 5.5,medium,作品是Henry Greenough临摹John Trumbull作品的复制画，历史肖像的来源增加了教育和文献价值，但复制性质明显削弱了其原创艺术重要性与MFA不可替代性。,组内最低：虽涉及美国历史人物肖像，但属于仿作（copy after Trumbull），原创性和独特性明显低于另外两件。,
2362,,The Golden Haze（Q22002662，1909-01-01，油彩）,,,object,美国风景油画（十九世纪至二十世纪初）,3,6,4,6.5,6,5.5,0,5.8,5.5,4.5,5.450,5.445,C,C,,Core 5.445 < 5.5,low,1909年的《The Golden Haze》从题名和年代看属于强调大气光色的美国风景油画，可能具有较好的色调观感，但所给资料未解析艺术家身份，暂不足以确认其为MFA核心名作。,组内综合代表性最高，以二十世纪初的金色雾霭式风景补足美国风景画由传统写实向现代氛围化表现过渡的一环。,
2363,,Georgianna Buckham and Her Mother (Anna Traphagen Buckham)（亨利·因曼，1839-01-01，油彩）,,,object,美国十九世纪人物与历史题材油画,3,6,4.5,6,6,6.5,0,6.5,7,6.5,6.650,5.765,C,B,变,Core 5.765 落在 5.5–7.19,medium,Henry Inman是美国十九世纪肖像画的重要人物，这幅母女家庭肖像兼具人物刻画和社会史信息，但单件作品在MFA美国艺术收藏中的身份权重仍低于Copley、Sargent或Homer等核心名作。,组内代表性最高：因曼的美国肖像画及母女双人构图较具典范性，重复性最低，能较好补充MFA美国艺术叙事。,
2364,,Dismissal of School on an October Afternoon（亨利·因曼，1845-01-01，油彩）,,,object,美国十九世纪叙事与风俗油画,3,5.5,4,6,6,6.5,0,6,6,5.5,5.900,5.465,C,C,,Core 5.465 < 5.5,medium,Henry Inman描绘学校放学场景，具有十九世纪美国日常生活、教育制度和社区文化的叙事价值，画面也较易引起游客兴趣，但其艺术史地位仍属美国馆藏中的次核心层级。,组内代表性最高：亨利·因曼的19世纪美国风俗场景较能体现本组的叙事绘画价值，且不属于单纯题材记录。,
2365,,Tamahagane（Henry Mandell，2011-01-01）,,,object,美国当代绘画,12,3,1,3,3,2,0,3.8,1,3.5,2.900,2.340,B,C,变,Core 2.340 < 5.5,low,现有资料仅能确认这是2011年的当代绘画，艺术家与作品在MFA身份性及更广泛艺术史中的重要性缺乏可靠依据。,组内处于末位，作为较晚期美国绘画可补充当代时段，但与组内其他一般性作品重复度最高。,
2366,,Narcissus（亨利·奥利弗·沃克，1890-01-01，油彩）,,,object,美国象征主义绘画,1,4,2,5,4,4,0,6,8,4,6.200,3.870,C,C,,Core 3.870 < 5.5,medium,沃克属于美国象征主义及壁画传统中的次要艺术家，《Narcissus》具有主题和装饰性价值，但不足以代表MFA的美国艺术核心。,组内唯一的美国象征主义绘画，因无同类重复而具较高独特性，但艺术家与作品并非MFA美国艺术核心代表。,
2367,,"Interior of a Mosque, Cairo（亨利・泰納，1897-01-01，油彩）",,,object,美国19世纪末至20世纪初绘画,2,7,3,7,6,6,0,7.5,8,5,7.150,5.715,C,B,变,Core 5.715 落在 5.5–7.19,medium,坦纳是美国艺术史上重要的非裔美国艺术家，这幅带有强烈光线与宗教空间氛围的作品兼具艺术史和观赏价值，但并非MFA最具身份性的单件藏品。,组内排名第1：较另一件更早且更具代表性的泰纳东方主义绘画，提供清真寺室内这一相对独特的主题。,
2368,,"Street Scene, Tangiers（亨利・泰納，1912-01-01）",,,object,美国19世纪末至20世纪初绘画,2,6,2,6,5,5,0,6.5,4,4,5.250,4.625,B,C,变,Core 4.625 < 5.5,medium,坦纳的北非题材绘画体现了美国艺术家对海外文化与异域城市的表现，画面吸引力明确，但在坦纳作品及MFA美国艺术收藏中并非顶尖代表。,组内排名第2：虽为泰纳的重要异域题材作品，但与组内首件同属东方主义绘画，街景主题的补充性和独特度较低。,
2369,,Gulf of Spezia（Henry Roderick Newman，1884-01-01，油彩）,,,object,美国19世纪风景画,88,5,2,6,5,4,0,5,2.5,3.5,3.950,4.145,C,C,,Core 4.145 < 5.5,medium,纽曼的意大利海湾风景具有较好的光色与旅行景观观赏性，但艺术家及作品在美国艺术史和MFA馆藏中的地位相对有限。,在全组中代表性偏低，作者与作品均处于美国风景画叙事的边缘位置。,
2370,,Watson and the Shark（Henry Sargent，1793-01-01，油彩）,,,object,亨利·萨金特绘画,6,5,2,7,7,6,0,2,1,1,1.500,4.650,C,C,,Core 4.650 < 5.5,medium,这件作品虽为《Watson and the Shark》的复制品而非原作，却保留了鲨鱼袭击题材的戏剧性，并可用于说明美国历史画传播与复制传统。,组内为複製品，既非原作且与其他萨金特绘画重复性最高，代表性最低。,
2371,,The Tea Party（Henry Sargent，1824-01-01，油彩）,,,object,亨利·萨金特绘画,6,5,3,5,5,6,0,6,8,5,6.400,4.790,,C,变,Core 4.790 < 5.5,medium,《The Tea Party》作为早期美国室内社交场景绘画，能补充理解19世纪美国日常生活与礼仪，但艺术家地位和视觉冲击均属馆藏中等水平。,组内属于较成熟且最具典型性的社交场景画，与《The Dinner Party》题材相近但代表性略胜。,
2372,,The Dinner Party（Henry Sargent，1821-01-01，油彩）,,,object,亨利·萨金特绘画,6,5,3,5,5,6,0,6,5,4,5.300,4.680,,C,变,Core 4.680 < 5.5,medium,《The Dinner Party》具有早期美国社会生活与室内风俗史料价值，然而在美国艺术史及MFA整体收藏中属于可替代的中等作品。,组内品质与《The Tea Party》相当，但同属室内社交场景，独特性因重复而居中。,
2373,,John Turner Welles Sargent（Henry Sargent，1819-01-01，油彩）,,,object,亨利·萨金特绘画,6,4,2,4,3,5,0,4,3,2,3.300,3.430,,C,变,Core 3.430 < 5.5,medium,这幅人物肖像主要价值在于记录特定人物和早期美国肖像传统，题材与形式较为常规，现场吸引力有限。,组内为较普通的肖像作品，品质与叙事补位有限，且不如自画像具有代表性。,
2374,,Self Portrait（Henry Sargent，1795-01-01，油彩）,,,object,亨利·萨金特绘画,6,5,2,4,4,5,0,5,7,4,5.400,3.990,C,C,,Core 3.990 < 5.5,medium,艺术家自画像具有一定的作者身份与美国肖像史意义，但作品本身的视觉表现和MFA不可替代性均不突出。,组内唯一的自画像类型，虽艺术地位不及典型社交场景画，但题材独特性明显较高。,
2375,,Boy on a Hobby Horse（Henry Sargent，1815-01-01，油彩）,,,object,亨利·萨金特绘画,6,4,2,5,5,4,0,4,4,3,3.800,3.780,C,C,,Core 3.780 < 5.5,medium,儿童骑 hobby horse 的题材亲切且具有一定现场亲和力，但其艺术史地位、叙事深度和馆藏独特性都较有限。,组内为较少见的儿童骑木马题材，具有一定区别度，但品质与萨金特代表性相对有限。,
2376,,The Chess Players（Henry Schwartz，1958-01-01）,,,object,美国20世纪具象绘画,8,3,1,5,4,3,0,5,4,5,4.700,3.120,C,C,,Core 3.120 < 5.5,low,现有资料只确认这是一幅1958年的具象绘画，艺术家、作品风格及其在MFA美国现代艺术收藏中的地位缺乏足够可靠信息。,组内为一般水平的美国现代具象绘画，题材虽有生活性但缺乏足以脱颖而出的独特位置。,
2377,,Le Destin（Henry Siddons Mowbray，1896-01-01，油彩）,,,object,美国19世纪象征主义与东方主义油画,1,6.5,5,7,6.5,6,0,6.5,8,4.5,6.550,6.130,C,B,变,Core 6.130 落在 5.5–7.19,medium,Mowbray是美国象征主义与东方主义画家，作品具有装饰性和寓意性，但在MFA美国艺术核心名作中不可替代性有限。,组内唯一的美国19世纪象征主义与东方主义油画，因无同类重复而具较高独特性，但在MFA整体叙事中属于补充性而非核心代表。,
